,mean_abs_shap
P_PUQMEC__PUQ100_Products_used_in_home_to_control_insects_2.0,0.0015894454
P_PUQMEC__PUQ110_Products_used_to_kill_weeds_2.0,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_2,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_3,0.003277002
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_4,0.0042952565
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_5,0.0
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_2,0.0
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_3,0.0043258225
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_4,0.0012397309
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_2,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_3,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_4,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_5,0.0
P_SLQ__SLD013_Sleep_hours_weekends_2,0.0060856133
P_SLQ__SLD013_Sleep_hours_weekends_3,0.0049404
P_SLQ__SLD013_Sleep_hours_weekends_4,0.015841018
P_SLQ__SLQ030_How_often_do_you_snore_1.0,0.0
P_SLQ__SLQ030_How_often_do_you_snore_2.0,0.00455283
P_SLQ__SLQ030_How_often_do_you_snore_3.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_1.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_2.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_3.0,0.0
P_SLQ__SLQ050_Ever_told_doctor_had_trouble_sleeping_2.0,0.014470743
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_1.0,0.0010194113
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_2.0,0.0
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_3.0,0.0007156237
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_4.0,0.0
P_SMQ__SMQ020_Smoked_at_least_100_cigarettes_in_life_2.0,0.0002802262
P_SMQFAM__SMD460_of_people_who_live_here_smoke_tobacco_1.0,0.0
P_SMQFAM__SMD460_of_people_who_live_here_smoke_tobacco_2.0,0.0045426497
P_SMQRTU__SMQ681_Smoked_tobacco_last_5_days_2.0,0.0
P_SMQRTU__SMQ851_Used_smokeless_tobacco_last_5_days_2.0,0.0
P_SMQRTU__SMQ863_Used_nicotine_replacement_last_5_days_2.0,0.0
P_SMQRTU__SMDANY_Used_any_tobacco_product_last_5_days_2.0,0.0
P_SMQSHS__SMQ856_Last_7_d_worked_at_job_not_at_home_2.0,0.0
P_SMQSHS__SMQ860_Last_7_d_spent_time_in_a_restaurant_2.0,0.0
P_SMQSHS__SMQ866_Last_7_d_spent_time_in_a_bar_2.0,0.0
P_SMQSHS__SMQ870_Last_7_d_rode_in_a_car_2.0,0.0
P_SMQSHS__SMQ872_Last_7_d_someone_smoked_in_car_2.0,0.0
P_SMQSHS__SMQ874_Last_7_d_spent_time_in_another_home_2.0,0.0
